system,user,json
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Chi tiêu 2 triệu 300 nghìn cho bữa tiệc sinh nhật cuối tuần qua.
",2300000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Mua sắm 5 mê đồ điện tử trong tháng này.
",5000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Đặt 10 củ sushi cho bữa tối hôm qua.
",10000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Chi 7 chai cà phê cho buổi họp sáng nay.
",7000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Trả 3 triệu 600 nghìn cho vé xem concert tuần trước.
",3600000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Dùng 8 mê cho chuyến du lịch cuối tháng.
",8000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Mua 4 củ trái cây tươi cho bữa tiệc BBQ.
",4000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Chi 6 chai rượu vang cho bữa tối kỷ niệm.
",6000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Đầu tư 9 triệu vào quỹ chứng khoán tháng này.
",9000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Trả 1 triệu 500 nghìn cho dịch vụ sửa chữa nhà.
",1500000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tiêu bảy triệu mua sắm đồ dùng cho gia đình
",7000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi tiêu ba m triệu cho bữa tiệc sinh nhật
",3000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tối qua tiêu năm chai cho một bữa ăn sang trọng
",5000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","sáng nay tiêu mười củ cho việc sửa chữa nhà
",10000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi tiêu bốn mê cho chuyến du lịch cuối tuần
",4000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tối thứ bảy tiêu hai triệu cho vé xem concert
",2000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","buổi chiều tiêu sáu chai cho việc mua sắm quần áo
",6000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tiêu tám củ cho việc học thêm tiếng Anh
",8000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi tiêu một triệu rưỡi cho bữa tiệc cưới
",1500000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","tối qua tiêu chín mê cho việc đặt phòng khách sạn
",9000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Chi 2 triệu 4 trăm nghìn cho bữa tiệc sinh nhật.
",2400000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Mua 7 triệu 8 trăm nghìn đồ trang trí cho sự kiện.
",7800000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Đầu tư 1 triệu 5 trăm nghìn vào quỹ chứng khoán.
",1500000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Chi 6 triệu 2 trăm nghìn cho chuyến du lịch hè.
",6200000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Thanh toán 4 triệu 1 trăm nghìn tiền thuê nhà tháng này.
",4100000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Chi 3 triệu 3 trăm nghìn cho bộ quần áo mới.
",3300000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Mua sắm 8 triệu 6 trăm nghìn cho dịp lễ hội.
",8600000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Đặt cọc 9 triệu 7 trăm nghìn cho căn hộ mới.
",9700000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Chi 5 triệu 5 trăm nghìn cho việc sửa chữa xe.
",5500000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Đầu tư 10 triệu 2 trăm nghìn vào dự án khởi nghiệp.
",10200000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Hôm qua 5 triệu chi cho việc sửa chữa văn phòng.
",5000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Tuần trước 2 m mua sắm đồ dùng cho công ty.
",2000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Sáng nay 10 mê thanh toán tiền thuê nhà.
",10000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Tháng này 3 củ đầu tư vào dự án mới.
",3000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Đầu tuần này 7 chai chi phí cho sự kiện marketing.
",7000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Cuối tháng trước 6 trai trả lương cho nhân viên.
",6000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Hôm nay 1 triệu mua vé máy bay cho chuyến công tác.
",1000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Tuần này 4 m chi phí cho bữa tiệc cuối năm.
",4000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Tháng trước 8 mê thanh toán hóa đơn internet.
",8000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Hôm qua 9 củ đầu tư vào quỹ chứng khoán.
",9000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","3 triệu mua sắm quần áo cuối tuần này.
",3000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Chi tiêu 5 m cho bữa tiệc sinh nhật vào thứ Bảy.
",5000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","1 triệu 200 mua trái cây tươi cho bữa ăn tối.
",1200000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Đặt phòng khách sạn 7 triệu cho chuyến đi sắp tới.
",7000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","2 triệu 500 mua đồ trang trí cho lễ cưới.
",2500000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","Chi 4 m cho vé xem concert vào tháng tới.
",4000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","6 triệu mua sắm đồ điện tử mới cho gia đình.
",6000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","8 triệu 300 cho bữa ăn tối tại nhà hàng sang trọng.
",8300000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","9 triệu đầu tư vào quỹ tiết kiệm cho tương lai.
",9000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","10 triệu 750 cho chuyến du lịch hè với bạn bè.
",10750000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi 15 triệu bánh mì cho bữa tiệc sinh nhật cuối tuần này
",15000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi tiền trai năm ly trà sữa cho nhóm bạn vào tối thứ bảy
",1500000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","10 m phở cuốn cho buổi họp mặt vào chiều mai
",10000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi 25 củ sushi cho bữa tối lãng mạn tối nay
",25000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","12 chai gà rán cho buổi xem phim cuối tuần
",12000000
"You're an money manager assistant.
Your job is to find and convert textual money string into integer money string","chi tiền mười triệu pizza cho bữa tiệc tại nhà vào thứ sáu
",10000000
